author_year,study,cluster,group,case,phase,session,outcome,B1,T1,B2,T2,T3,T4,P,M1,G1
Freeman-Green et al. (2015),3,1,1,3,Maintenance,27,96,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,1,2,4,Baseline 1,1,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,4,Baseline 1,2,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,4,Baseline 1,3,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,4,Baseline 1,4,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,4,Baseline 1,5,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,4,Generalization,6,0,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,1,2,4,Intervention 1,7,92,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,4,Intervention 1,8,80,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,4,Intervention 1,9,80,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,4,Intervention 1,10,82,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,4,Intervention 1,11,80,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,4,Maintenance,16,84,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,1,2,4,Generalization,22,90,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,1,2,4,Maintenance,23,82,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,1,2,5,Baseline 1,4,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,5,Baseline 1,5,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,5,Baseline 1,6,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,5,Baseline 1,7,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,5,Baseline 1,8,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,5,Generalization,9,0,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,1,2,5,Baseline 1,10,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,5,Intervention 1,11,82,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,5,Intervention 1,12,88,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,5,Intervention 1,13,90,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,5,Intervention 1,14,90,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,5,Intervention 1,15,90,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,5,Generalization,22,90,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,1,2,5,Maintenance,25,90,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,1,2,5,Maintenance,27,94,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,1,2,6,Baseline 1,4,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,6,Baseline 1,5,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,6,Baseline 1,6,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,6,Baseline 1,7,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,6,Baseline 1,8,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,6,Generalization,9,0,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,1,2,6,Baseline 1,10,6,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,6,Baseline 1,15,10,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,6,Intervention 1,16,88,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,6,Intervention 1,17,88,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,6,Intervention 1,18,92,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,6,Intervention 1,19,84,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,6,Intervention 1,20,94,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,2,6,Generalization,22,82,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,1,2,6,Maintenance,25,88,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,1,2,6,Maintenance,27,84,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,2,1,1,Baseline 1,1,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,1,Baseline 1,2,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,1,Baseline 1,3,20,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,1,Baseline 1,4,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,1,Baseline 1,5,20,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,1,Generalization,6,0,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,2,1,1,Intervention 1,7,60,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,1,Intervention 1,8,60,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,1,Intervention 1,9,50,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,1,Intervention 1,10,90,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,1,Intervention 1,11,80,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,1,Maintenance,16,80,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,2,1,1,Generalization,22,60,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,2,1,1,Maintenance,23,70,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,2,1,2,Baseline 1,1,20,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,2,Baseline 1,2,20,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,2,Baseline 1,3,80,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,2,Baseline 1,4,20,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,2,Baseline 1,5,20,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,2,Generalization,6,50,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,2,1,2,Baseline 1,10,40,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,2,Intervention 1,11,90,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,2,Intervention 1,12,100,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,2,Intervention 1,13,100,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,2,Intervention 1,14,100,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,2,Intervention 1,15,100,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,2,Generalization,22,100,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,2,1,2,Maintenance,24,100,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,2,1,2,Maintenance,26,90,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,2,1,3,Baseline 1,1,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,3,Baseline 1,2,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,3,Baseline 1,3,10,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,3,Baseline 1,4,20,1,0,0,0,0,0,0,0,0
